Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2000,Council Resolution,20000803-028,"Adopt the Consolidated Plan, 2000-2005, as required by federal law (24 CFR 91.1) and the Local Government Code (Chapter 373), which serves as the application for and acceptance of four entitlement grants from the U.S. Department of Housing and Urban Development (HUD). Federal regulations require that a Council-approved Consolidated Plan be delivered to HUD no later than August 15, 2000.","• City adopted 2000-2005 required federal Consolidated Plan. 
• City Manager or his designee is authorized to execute, attest and deliver such statements, agreements, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020131-027,"A resolution authorizing the negotiation and execution of one or more forgivable loans to the Austin Revitalization Authority (ARA), in a total amount not to exceed $600,000, to assist the ARA with the purchase of up to five parcels within the East 11th Street Commercial Corridor from the Urban Renewal Agency","The City Council authorizes the negotiation and execution of one or more forgivable loans to the Austin Revitalization Authority (ARA) in a total amount not to exceed $600,000, to assist the ARA with the purchase of up to five parcels within the East 11th Commercial Corridor from the Urban Renewal Agency; and authorizes the City Manager to enter into the loan or loans on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Controlling land for community development,Direct,No,Actionable,Presumed Implemented
2000,Council Resolution,20000928-036," A resolution authorizing the negotiation and execution of a 12-month contract with the AUSTIN AREA URBAN LEAGUE, Austin, Texas, for the Emergency Home Repair Program in an amount not to exceed $1,000,000 with two 12-month extension options in an amount not to exceed $1,000,000 per extension for a total contract amount not to exceed $3,000,000. ","The City Council approves negotiation and execution of a 12-month contract with the AUSTIN AREA URBAN LEAGUE, 1825 East 38 1/2 Street, Austin, TX 78722, for the Emergency Home Repair Program, in an amount not to exceed $1,000,000 with two 12-month extension options in an amount not to exceed $1,000,000 per extension, for a total contract amount not to exceed $3,000,000; and authorizes the City Manager to enter into the contract on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2000,Council Resolution,20000928-037,"A resolution authorizing the negotiation and execution of a 12-month contract with the AUSTIN TENANTS' COUNCIL, Austin, Texas, for the Fair Housing and Tenant Counseling Program in an amount not to exceed $255,000 with two 12-month extension options in an amount not to exceed $255,000 per extension for a total contract amount not to exceed $765,000","The City Council approves negotiation and execution of a 12-month contract with the AUSTIN TENANTS' COUNCIL, 1619 East Cesar Chavez Street, Austin, TX 78702, for the Fair Housing and Tenant Counseling Program, in an amount not to exceed $255,000 with two 12-month extension options in an amount not to exceed $255,000 per extension, for a total contract amount not to exceed $765,000; and authorizes the City Manager to enter into the contract on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Presumed Implemented
2000,Council Resolution,20001130-072,A resolution accepting the Robert Mueller Municipal Airport Redevelopment and Reuse Plan,The Council accepts the Robert Mueller Municipal Airport Redevelopment and Reuse Plan.,Council,Controlling land for community development,Indirect,No,,Presumed Implemented
2001,Council Resolution,20010308-18,"A resolution authorizing the negotiation and execution of an agreement with Austin Community Development Corporation (ACDC) in an amount not to exceed $50,000, to provide financial assistance to small businesses and small commercial development projects that create jobs for low-to-moderate income persons.","The City Council authorizes the negotiation and execution of an agreement with Austin Community Development Corporation (ACDC) in an amount not to exceed $50,000, to provide financial assistance to small businesses and small commercial development projects that create jobs for low-to-moderate income persons; and authorizes the City Manager to enter into the contract on such terms and conditions as may be reasonable, necessary, or required.",Austin Community Development Corporation (ACDC) & City Manager,Preserving and growing small businesses and cultural assets,Direct,No,Actionable,Presumed Implemented
2011,Commission Report,Community Development Commission,,"Transfers of development rights, including rights under density programs need to contribute to affordable housing. Transferring development rights should not be structured so as to sidestep affordability.",Council,Preserving and expanding the supply of affordable housing,Indirect,No,,
2001,Council Resolution,20010329-53,"A resolution directing the City Manager to develop and bring back to Council for approval an economic development fee waiver program under Chapter 380, Local Government Code, to encourage the rehabilitation of affordable housing units by nonprofit organizations","The City Council directs the City Manager to develop recommendations for an economic development fee waiver program under Chapter 380, Local Government Code, to encourage the rehabilitation of affordable housing units by nonprofit organizations in the City of Austin; and the City Council directs the City Manager or his designee to report back to Council with recommendations for creating the fee waiver program on or before June 14, 2001.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2001,Council Resolution,20010419-64,Direct the City Manager to examine the feasibility of transferring certain historical properties located in the area adjacent to the East 11th and 12th Streets commercial corridor to the Austin Revitalization Authority for use as low-income or moderate income housing or for other compatible uses in the area,"The City Manager is directed to examine the feasibility of transferring certain historical properties which are currently vacant, and/or boarded up, and located in the area adjacent to the East 11th and 12th Streets commercial corridor, including 900, 904, and 908 Juniper Street, 905 and 907 Olive Street, 1117 East 12th Street, and the vacant lots owned by the City between the south side of Olive Street, the east side of Branch Street, the north side of Juniper Street and the west side of Curve Street, to the Austin Revitalization Authority for the development of moderate income homeowner housing or for other compatible uses in the area and report back to the City Council within 60 days.",City Manager,Controlling land for community development,Indirect,No,,
2001,Council Resolution,20010614-025,"A resolution authorizing the negotiation and execution of an amendment to the contract with the Austin Revitalization Authority (ARA), for a 15-month period in an amount not to exceed $343,750. Total contract amount will not exceed $1,818,750, for ARA's operational expenses for the continued implementation of the East 11th and East 12th Street Redevelopment Program","The City Council authorizes the negotiation and execution of an amendment to the contract with the Austin Revitalization Authority (ARA), for a 15-month period in an amount not to exceed $343,750; and authorizes the City Manager to enter into the contract amendment on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Controlling land for community development,Direct,No,Actionable,Presumed Implemented
2001,Council Resolution,20010719-023,"Amending the City's 2000-2001 Community Development Program and federal annual Action Plan to reprogram $706,508 to new uses and to expand the area in which HUD Section 108 loan funds obtained in connection with the East 11 and 12th Street Redevelopment program may be utilized","The City Council approves amending the City's 2000-2001 Community Development Program and federal annual Action Plan (2000-2001 Program) to reprogram $706,508 for new uses as described on the attached Exhibit A and to expand the area in which HUD Section 108 funds obtained in connection with the East 11th and 12th Streets Redevelopment program may be utilized as shown on the attached Exhibit B. The City's fiscal year 2000-2001 Community Development Program as amended and set forth on the attached Exhibit A for purposes of Chapter 373, Texas Local Government Code, is approved in accordance with Section 373.006(5), Texas Local Government Code; and The City Manager is authorized to execute, attest and deliver such statements, agreements, amendments, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2001,Council Resolution,20010802-026,"Adopting the HUD Action Plan, 2001-2002, as required by federal law (24 CFR 91.1) and the community development program as required by Chapter 373 of the Texas Local Government Code, which also serves as the application for and acceptance of four entitlement grants from the U.S. Department of Housing and Urban Development ","• The attached Exhibit A projected use of funds be and are hereby adopted for the purpose of submitting a $13,494,000 application to HUD for CDBG, HOME, HOPWA, and ESG funds for fiscal year 2001-2002, and to authorize the reallocation of $1,169,500 in program income; and
• The City Manager or his designee is authorized to submit to HUD an application for the 27th Year CDBG, 10th Year HOME, FY 2001-2002 HOPWA, and FY 2001-2002 ESG Entitlement grants (Federal HUD Grant), a final statement of community development objectives and projected use of funds, and any certifications required by HUD; and The City Manager or his designee is authorized to accept on behalf of the City of Austin the Federal HUD Grant funds; and 
• The City's fiscal year 2001-2002 Community Development Program as described on the attached Exhibit A projected use of funds is approved;
• The City Manager is authorized to execute, attest and deliver such statements, agreements, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2001,Council Resolution,20010910-14,Directing the City Manager to prepare and submit an application to the US Department of Housing and Urban Development (HUD) for the third round of HUD's Empowerment Zone Program including designating an area as the proposed Empowerment Zone.,"The City Council directs the City Manager to prepare and submit an application to the U.S. Department of Housing and Urban Development (HUD) for the third round of HUD's Empowerment Zone Program on behalf of the City and in cooperation with the Austin community.
BE IT FURTHER RESOLVED that the City Council designates the area described on the map attached to this Resolution as Exhibit A as the proposed Empowerment Zone and directs that it be included in the application. In the event that HUD grants the City a waiver to include in the Empowerment Zone additional census tracts that are contiguous to the proposed Empowerment Zone boundary prior to the application deadline, such tracts may be included in the proposed Empowerment Zone.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2001,Council Resolution,20011025-018,"A resolution authorizing the negotiation and execution of a contract amendment for an amount not to exceed $20,000 to the Urban Renewal Agency (URA), for a total contract amount not to exceed $60,000, for the purpose of providing funds for acquiring property insurance and costs associated with property maintenance in connection with the East 11th and East 12th Street Redevelopment project","The City Council approves a resolution authorizing the negotiation and execution of a contract amendment in an amount not to exceed $20,000 to the Urban Renewal Agency, for a total contract amount not to exceed $60,000, for the purpose of providing funds to acquire property insurance and costs associated with property maintenance in connection with the East 11th and East 12th Street Redevelopment project; and authorizes the City Manager to execute, attest and deliver such statements, agreements, amendments, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Controlling land for community development,Direct,No,Actionable,Presumed Implemented
2001,Council Resolution,20011213-034,"A resolution to amend the City's 2000/2001 Community Development Program and federal annual Action Plan to reprogram $750,000","• The City Council approves revising the City's 2000-2001 Community Development Program and federal annual Action Plan (2000-2001 Program) to reprogram funds by decreasing the Rate Buy down Program by $600,000 and the Acquisition and Development (Rental) Program by $150,000, and by increasing the Emergency Home Repair Program by $400,000 and the Architectural Barrier Removal Program by $350,000; and
• The City Manager is authorized to execute, attest and deliver such statements, agreements, amendments, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020117-017,"A resolution authorizing the negotiation and execution of an agreement with the Austin Community Development Corporation (ACDC) in an amount not to exceed $100,000, to provide financial assistance to small businesses and small commercial development projects that create jobs for low-to-moderate income persons.","The City Council authorizes the negotiation and execution of an agreement with Austin Community Development Corporation (ACDC) in an amount not to exceed $100,000, to provide financial assistance to small businesses and small commercial development projects that create jobs for low-to-moderate income persons; and authorizes the City Manager to enter into the contract on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Preserving and growing small businesses and cultural assets,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020214-AHFC002,"A resolution transferring $275,000 in HOME Investment Partnerships program funds from the Acquisition and Development Rental program to the Tenant-Based Rental Assistance (TBRA) program for fiscal year 2001-2002, and amending the TBRA contract to increase the total authorization to $1,376,000","The Board of Directors approves transferring $275,000 in HOME Investment Partnerships program funds from the Acquisition and Development Rental program to the Tenant-Based Rental Assistance (TBRA) program for the fiscal year 2001-2002, and amending the TBRA contract with the Housing Authority of the City of Austin to increase the total authorization to $1,376,000; and authorizes the General Manager or his designee to negotiate, execute, attest and affix the corporation seal to such loan agreements, contracts, deeds, documents, instruments, written requests, and other papers as may be favorable, necessary, convenient, or required to carry out or assist in carrying out the purposes of this resolution.",Council,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020509-028,"Amending the contract between Austin Housing Finance Corporation (AHFC) and the City of Austin Neighborhood Housing and Community Development (NHCD) to transfer $425,000 in HOME funds from the Community Housing Development Organization (CHDO) Homeownership Program to the CHDO Rental Program. (Funds are available from the CHDO Homeownership Program.","The City Council approves execution of an amendment to the contract between Austin Housing Finance Corporation and the City of Austin Neighborhood Housing and Community Development to transfer $425,000 in HOME funds from the Community Housing Development Organization Homeownership Program to the Community Housing Development Organization Rental Program; and authorizes the City Manager or the City Manager's designee to enter into the contract amendment on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020321-037,"A resolution to amend the contract between Neighborhood Housing and Community Development (NHCD) Office and the Austin Housing Finance Corporation (AHFC) by decreasing the transfer of City funds from the Housing Trust Fund to AHFC in the amount of $750,000 and by increasing the transfer of CDBG 27th Year Funds to the AHFC in the amount of $750,000","The City Council approves a resolution amending the contract between the Neighborhood Housing and Community Development (NHCD) Office and the Austin Housing Finance Corporation (AHFC) by decreasing the transfer of City funds from the Housing Trust Fund to AHFC in the amount of $750,000, and by increasing the transfer to CDBG 27th Year funds to AHFC in the amount of $750,000; and authorizes the City Manager or the City Manager's designee to execute, attest and deliver such statements, agreements, amendments, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020411-017,"A resolution amending the City of Austin Neighborhood Housing and Community Development Office (NHCD) 2001-2002 Community Development Program to include the addition of a Section 108 Loan for the construction of the Downtown Homeless Shelter, Resource Center, and Health Clinic and a Section 108 Loan to expand the Neighborhood Commercial Management Loan Program (NCMP). ","Amended projected use of funds be and are hereby adopted for the purpose of submitting a $13,494,000 application to HUD for CDBG, HOME, HOPWA, and ESG funds for fiscal year 2001-2002, submitting two HUD 108 loan applications in an amount not to exceed $8,030,000 to HUD to finance the New and Expanded Programs and to authorize the reallocation of $1,169,500 in program income; and 
The City's amended fiscal year 2001-2002 Community Development Program projected use of funds is approved in accordance with Section 373.006(5), Texas Local Government
Code; and
The City Manager is authorized to execute, attest and deliver such statements, agreements, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020411-018,"A resolution authorizing the execution of the funding approval/agreement with HUD for Section 108 Loan Guarantee Assistance in an amount not to exceed $6,030,000 to construct the Downtown Homeless Shelter, Resource Center, and Health Clinic and authorize negotiation of loan documents with HUD. [The amount of $6,030,000 in loan funds is guaranteed by the U.S. Department of Housing and Urban Development's (HUD) Section 108 Loan Guarantee Assistance Program. The Fiscal Year 2001/2002 Action Plan of Neighborhood Housing and Community Development (NHCD) Office has been amended to support this loan funding. The annual debt service is proposed to be funded from the Community Development Block Grant (CDBG) entitlement. ","The City Council approves the HUD Funding Approval/Agreement with HUD for the HUD Guaranteed Loan in an amount not to exceed $6,030,000 to construct the Homeless Center; authorizes the City Manager or the City Manager's designee to execute the HUD Funding Approval/Agreement; authorizes the City Manager or the City Manager's designee to enter into negotiations with HUD concerning the structure of the debt obligations for the HUD Guaranteed Loan and the loan documents and take the necessary steps to facilitate the financing on such terms as may be reasonable, necessary, or required under the HUD Section 108 Loan Guarantee Program and the Texas Local Government Code; and instructs the City Manager to bring back to the City Council for final approval the HUD Guaranteed Loan documents necessary or required to enter into the financing, which documents, following City Council approval, will be submitted to the Texas Attorney General for final authorization.",City Manager,Financing,Direct,Yes,,Presumed Implemented
2002,Council Resolution,2000420-082,"Creation of Housing Trust Fund and increasing the 1999-2000 annual budget by $1,000,000","Section 1. That the Corporation is authorized to accept a $1,000,000 grant from the City of Austin's Housing Trust Fund Grant Program and with the grant proceeds to create a revolving Housing Trust Fund which will be managed by the Corporation.",N/A,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020509-091,A resolution to endorse and fully support the adjustment of the federal minimum wage to an amount equal to the Universal Living Wage Formula which ensures that a 40 hour per week minimum wage worker can afford at least an efficiency apartment anywhere in the United States while not spending more than 30% of their income on housing ,Resolution supporting adjustment to the Living Wage Formula which ensures a person can afford efficiency housing with 30% of their income; recommends a similar endorsement from local public and private sectors.,N/A,Income and asset creation,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020509-027," Authorizing the execution of the Funding Approval/Agreement with the U.S. Department of Housing and Urban Development (HUD) for Section 108 Loan Guarantee Assistance in an amount not to exceed $2,000,000 to expand and continue the Neighborhood Commercial Management Loan Program (NCMP) and authorize the negotiation of loan documents with HUD. ","The City Council authorizes the negotiation and execution of the Funding Approval/Agreement with the U.S. Department of Housing and Urban Development (HUD) for Section 108 Loan Guarantee Assistance in an amount not to exceed $2,000,000 to expand and continue the Neighborhood Commercial Management Loan Program (NCMP) and authorize the City Manager or his/her designee to negotiate with HUD concerning loan documentation and financing requirements under the Texas Local Government Code; and authorizes the City Manager to enter into the contract on such terms and conditions as may be reasonable, necessary, or required.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020509-005,,"The Board of Directors authorizes the execution of a Guaranty Agreement substantially in the form attached to this Resolution (Guaranty Agreement) with Wells Fargo Bank Texas, N.A. regarding a loan to Huffman Homes from Wells Fargo Bank, N.A. in an amount not to exceed $1 million and shall authorize the assignment of the loan to AHFC upon Huffman's default under the loan for the purpose of financing the development of a S.M.A.R.T. Housing compliant, 56-lot single family unit subdivision located at Highway 183 and Martin Luther King Blvd., known as Heritage Village; the Board of Directors authorizes the General Manager or his designee to negotiate, execute, attest and affix the corporate seal on behalf of the corporation to the Guaranty Agreement and such other documents, instruments, written requests, assignments, and other papers as may be favorable, necessary, convenient, or required to carry out or assist in carrying out the purposes of this Resolution.",Council,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020523-025,"Authorizing the execution of the Promissory Note, the Contract for Loan Guarantee Assistance under Section 108 of the Housing and Community Development Act of 1974, as amended, 42 U.S.C. '5308, the Deed of Trust, the Custodial Agreement and other loan documents necessary to authorize issuance of the Promissory Note in an amount not to exceed $6,030,000 and the incorporation by reference in the Note and Contract of certain Fiscal Agency/Trust agreements entered into by the Secretary of the United States Department of Housing and Urban Development to finance the construction of the Austin Resource Center for the Homeless which will be located at 500 East Seventh Street.","BE IT FURTHER RESOLVED, the Contract is hereby approved, with such insertions, additions and modifications as the City Manager may approve. The City Manager is hereby authorized to execute and deliver the Contract on behalf of the City and the City Clerk is hereby authorized to attest and to apply the official seal of the City to the Contract. The execution of the Contract by the City Manager shall be conclusive evidence of the approval of all insertions, additions and modificiations to the Contract.
BE IT FURTHER RESOLVED, the Amended and Restated Master Fiscal Agency Agreement, dated 17 May 2000, the Trust Agreement dated 1 January 1995, and the form of Supplement to the Trust Agreement (the ""Fiscal Agency/Trust Agreements""), between HUD and JPMORGAN CHASE BANK, is hereby approved to be incorporated by reference into the Contract and Note, with such insertions, additions and modifications as the City Manager may approve.
BE IT FURTHER RESOLVED, in accordance with the terms of the Contract, the Custodial Agreement Concerning Guaranteed Loan Funds Account and for Mortgages and Other Collateral Held as Security, dated effective even date with the Note (the ""Custodial Agreement""), between the City and JPMORGAN CHASE BANK, as Custodian (the ""Custodian""), relating to the holding of certain collateral to be pledged as security for the Note, in substantially the form attached hereto as Exhibit D, is hereby approved, with such insertions, additions and modifications as the City Manager may approve. The City Manager is hereby authorized to execute and deliver the Custodial Agreement on behalf of the City and the City Clerk is hereby authorized to attest and apply the official seal of the City to the Custodial Agreement. The execution of the Custodial Agreement by the City Manager shall be conclusive evidence of the approval of all insertions, additions and modifications to the Custodial Agreement.
BE IT FURTHER RESOLVED, the City Manager is authorized to pay all expenses related to the issuance and delivery of the Note and the execution and delivery of the Contract, the Fiscal Agency/Trust Agreements, and the Custodial Agreement from the proceeds of the Note.
BE IT FURTHER RESOLVED,
(a) Upon receipt of notice from HUD of one or more proposed Public Offering(s), the City shall execute and deliver one or more Replacement Notes. Such Replacement Notes shall be in substantially the form attached hereto as Exhibit E with such insertions and deletions as may be required to reflect the final pricing for each Replacement Note; provided, that the Replacement Notes shall be in the aggregate Actual Principal Amount of the Note to be included in the Public Offering(s) and shall bear interest at such fixed rate, and shall have such redemption provisions, as will enable the underwriter to sell each Replacement Note under then prevailing market conditions on the date of the Public Offering at on hundred percent (100%) of the principal amount thereof; and provided, further, that in no event shall the interest rate on any Replacement Note exceed the Highest Lawful Rate. Each Replacement Note shall be executed by the Mayor of the City and the City Clerk shall attest thereto and shall apply the official seal of the City to such Replacement Note.
(b) At the time of issuance of any Replacement Note, the City Manager, and any appropriate City officials, are authorized to execute a Replacement Contract and any other required documents upon approval as to form by the City Attorney. The City Manager is further authorized to pay the City's share of all expenses of the Public Offering, including a portion of the underwriter's discount, the trustee's fee, and other costs of issuance.
BE IT FURTHER RESOLVED, the City Manager, officers, employees and agents of the City, and each of them, shall be and each is expressly authorized, empowered and directed from time to time and at any time to do and perform all acts and things and to execute, acknowledge and deliver, in the name and under the seal and on behalf of the City, all documents, instruments and other papers, whether or not herein mentioned, as they may determine to be necessary or desirable in connection with the issuance and delivery of the Note and the execution and delivery of the Contract, the Fiscal Agency/Trust Agreements, the Custodial Agreement, the Replacement Note and the Replacement Contract.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020627-105,"A resolution to create a task force comprised of members from the Planning Commission, Zoning and Platting Commission, Historic Landmark Commission and Community Development Commission, to consider and make recommendations regarding gentrification implications of Historic zoning in East Austin within 90 days; and providing that during the period of review by the task force, the City Council shall postpone consideration of historic zoning cases for property within the area bounded IH-35, Manor Road, Highway 183, and Town Lake","1.Council creates a task force comprised of two members each from the Planning Commission, Zoning and Platting Commission, Historic Landmark Commission, and Community Development Commission. Each commission shall select its two representatives by a majority vote. Primary consideration for membership on the task force shall be given to Commission members who reside in East Austin. The Council encourages specified Commissions to make their appointments by July 15, 2002.
2. The task force shall consider and make recommendations to City Council regarding the gentrification implications of historic zoning in East Austin by September 26, 2002. The study area shall be the area bounded by 1-35, Manor Road, Highway 183, and Town Lake.
3. Pending receipt of the task force recommendations, the City Council will not consider East Austin historic zoning cases, postpones each East Austin historic zoning case that would otherwise have come before it, and directs staff to not place East Austin historic zoning cases on its agenda.
4. (some properties are exempt)
5. This resolution is effective on June 28, 2002.",Task Force; Historic Landmark Commission,Preserving and expanding the supply of affordable housing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020627-026,"A resolution authorizing the negotiation and execution of an amendment to the $1.2 million forgivable loan agreement with the Austin Revitalization Authority (ARA), by increasing the loan amount by $111,390 for a total loan not to exceed $1,311,390. These funds will assist the ARA with the purchase of 12 parcels within the East 11th Street redevelopment area from the Urban Renewal Agency.","The City Council approves the negotiation and execution of an amendment to the $1,200,000 forgivable loan agreement with the Austin Revitalization Authority (ARA), by increasing the loan amount by $111,390, for a total loan not to exceed $1,311,390; and authorizes the City Manager or the City Manager's designee to negotiate, execute, attest and affix the city's seal to such amendments, contracts, documents, instruments, written requests, and other papers as may be favorable, necessary, convenient, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020627-039,"A resolution authorizing execution of a construction contract with JOURNEYMAN CONSTRUCTION, LP (MBE/MA, 68.4%), Austin, Texas, for the Austin Resource Center for the Homeless, located at 500 E. 7th Street, in the amount of $4,680,052 plus $140,000 contingency, for a total contract amount not to exceed $4,820,052.","City Council authorizes the City Manager or designee to execute a construction contract with Journeyman Construction, LP (MBE/MA), Austin, Texas, for the Austin Resource Center for the Homeless, located at 500 E. 7th Street, in the amount of $4,680,052 plus $140,000 contingency, for a total contract amount not to exceed $4,820,052.",City Manager,Financing,Direct,Yes,,Presumed Implemented
2002,Council Resolution,20020801-052,"Adopting the Action Plan, 2002-2003, as required by federal law (24 CFR 91.1) and the community development program as required by Chapter 373 of the Local Government Code, which serves as the application for and acceptance of four entitlement grants from the U.S. Department of Housing and Urban Development (HUD).","A projected use of funds be and are hereby adopted for the purpose of submitting a $13,239,000 application to HUD for CDBG, HOME, HOPWA, and ESG funds for fiscal year 2002 - 2003, and to authorize the allocation of $1,891,000 in program income funds and CDBG revolving funds.
The City Manager or his designee is authorized to submit to HUD an application for the 28th Year CDBG, 11th Year HOME, FY 2002 - 2003 HOPWA, and FY 2002-2003 ESG Entitlement grants (Federal HUD Grant), a final statement of community development objectives and projected use of funds, and any certifications required by HUD; and
The City Manager or his designee is authorized to accept on behalf of the City of Austin the Federal HUD Grant funds; and The City's fiscal year 2002 - 2003 Community Development Program as described on the attached Exhibit A projected use of funds is approved in
accordance with Section 373.006(5), Texas Local Government Code; and the City Manager is authorized to execute, attest and deliver such statements, agreements, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020801-053,"A resolution amending the City's 2001/2002 Community Development Approve a resolution amending the City's 2001/2002 Community Development Program and federal annual Action Plan to reprogram $2,170,000 for new uses. [Prior-year Community Development Block Grant (CDBG) funds in the amount of $770,000 from the Owner-Occupied Housing-Homeowner Moderate Rehabilitation program, $400,000 from the Rental Housing-Acquisition and Development Program, and $1,000,000 from the Public Facilities-Homeless Shelter program.] ","The City Council approves amending the City's 2001-2002 Community Development Program and federal annual Action Plan (2001-2002 Program) to reprogram $2,170,000 for new uses as described on the attached Exhibit A. The City's fiscal year 2001-2002 Community Development Program as amended and set forth on the attached Exhibit A for purposes of Chapter 373, Texas Local Government Code, is approved in accordance with Section 373.006(5), Texas Local Government Code; and The City Manager is authorized to execute, attest and deliver such statements, agreements, amendments, documents, certifications, instruments, written requests, program descriptions and other papers as may be favorable, necessary, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Financing,Indirect,No,,Presumed Implemented
2002,Council Resolution,20020808-023,"Approve negotiation and execution of a forgivable loan in an amount not to exceed $600,000 to the Austin Revitalization Authority (ARA) for the purpose of providing a maximum of $60,000 per unit for renovation costs for the historical houses in the Juniper Street Historical District Project Area.","The City Council approves the negotiation and execution of a forgivable loan in an amount not to exceed $600,000 to the Austin Revitalization Authority (ARA) for the purpose of providing a maximum of $60,000 per unit for renovation costs for the historical houses in the Juniper Street Historical District Project Area; and authorizes the City Manager or the City Manager's designee to negotiate, execute, attest and affix the city's seal to such amendments, contracts, documents,' instruments, written requests, and other papers as may be favorable, necessary, convenient, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Controlling land for community development,Direct,No,Actionable,Presumed Implemented
2002,Council Resolution,20020822-059,Authorizing the City Manager to negotiate and execute an Interlocal Agreement with other governmental entities to participate in the Greater Austin Chamber of Commerce's Project American Dream regarding the use of tax foreclosed properties for affordable housing.,"The City Council approves the negotiation of an interlocal agreement with other governmental entities to participate in the Greater Austin Chamber of Commerce's Project American Dream regarding the use of tax foreclosed properties for affordable housing. The City Council further approves the Community Development Commission serving in an advisory role in the administration of Project American Dream; and authorizes the City Manager or the City Manager's designee to negotiate such amendments, contracts, documents, instruments, written requests, and other papers as may be favorable, necessary, convenient, or required to carry out or assist in carrying out the purposes of this Resolution.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,Presumed Implemented
2013,Commission Report,African American Resource Advisory Commission,,"The African American Advisory Commission recommends the Austin City Council work with the African American Cultural Heritage District Board and the Capital City African American Chamber of Commerce to identify viable ways to attract, nurture and maintain local African American businesses within the AACHD.",Council,Preserving and growing small businesses and cultural assets,Indirect,No,,
2014,Commission Report,Austin Human Rights Commission,,"The Human Rights Commission establishes an African-American Quality of Life working group to collaborate with AARAC, the NAACP, and other stakeholders to identify needs a financial investment opportunities for at least $15 million in the FY 2014-2015 budget to address and improve the standard of life for African-Americans.",Council,Financing,Indirect,No,,
2015,Commission Report,Community Development Commission,,"The CDC recommends that the City of Austin develop additional strategies to lower costs of building accessory dwelling units, and develop resources to help low-income owners finance them, or any owners that will build accessory dwelling units for low-income tenants.", Council,Financing,Indirect,No,,
2014,Community Report,Housing the Hardest to Serve: Using Permanent Supportive Housing to Address Chronic Homelessness in the City of Austin,,11. Work with Texas Department of Housing and Community Affairs (TDHCA) to Clarify its Supportive Housing Definitions.,AHFC,Recommendations for process improvements,Indirect,No,,
2016,Commission Report,Community Development Commission,,"As described in Resolution 20160616-035, the Community Development Commission supports identifying funds for, and proceeding to conduct, a nexus study to determine a linkage fee structure to advance affordable housing in Austin.",Council,Financing,Indirect,No,,
